guID,Date,Start Time,End Time,Event Name,Location,Category,Host,Event Description
1,7/20/2023,5:00 PM,8:00 PM,Tekko Karaoke,Panel 2,Karaoke,Tekko Staff,Sing for your life! 
2,7/20/2023,4:30 PM,5:00 PM,Tekko Karaoke Signups (4:30PM),Panel 2,Karaoke,Tekko Staff,Sign up! Sign up to sing!
4,7/20/2023,4:00 PM,9:00 PM,Fashion Show Fittings,Dressing Room,Fashion,Tekko Staff,
5,7/20/2023,4:00 PM,9:00 PM,Fashion Show Rehearsal (Off-Stage),Hall E,Fashion,Tekko Staff,
6,7/20/2023,6:00 PM,8:00 PM,Chibi Tekko Open House (All ages),Chibi,Panel,Tekko Staff,All ages welcome to stop by and see what Chibi Tekko is all about! 
7,7/20/2023,3:00 PM,7:00 PM,Model Kit Room Open,Model Competition,N/A,Tekko Staff,Scale model room is open for people to come in to view kits on display and to build kits of their own.
8,7/20/2023,5:30 PM,6:30 PM,Hero or Villian: Let the Con Decide!,Panel 4,Panel,Sassy Curry,"Hero or Villain, that is the question.  This panel will explore the physical and behavioral features of anime characters from across the spectrum, and it is up to you to determine who is a “good guy”, an “bad guy”, or even something else entirely. "
9,7/20/2023,7:00 PM,8:00 PM,Magick with the Owl Lady,Panel 4,Panel,Enrana of Asgard ,
10,7/20/2023,6:00 PM,7:00 PM,Bungou Stray Sleepover w/ Bee!,Panel 7 (18+),Panel,Bee (@law_of_cosplay),"This will be a standard cosplay sleepover panel featuring characters from Bungou Stray Dogs. We will run through several standard sleepover games such as truth or dare, and let the audience participate in the games. "
11,7/20/2023,4:30 PM,5:30 PM,Panelist Meet & Greet,Meet Ups,Panel,Tekko Staff,Are you a panelist? Come to our not so secret meet and greet where we *gasp* meet and greet each other.
12,7/20/2023,6:00 PM,7:00 PM,Cons Against Humanity 18+,Meet Ups,Panel,Unlockable Content,Cards against Humanity with a con themed twist. 
13,7/20/2023,7:30 PM,8:30 PM,Tekko Ribbon Game,Meet Ups,Panel,Tekko Staff,
14,7/20/2023,4:30 PM,6:00 PM,Open Stage,Stage Uzume,Dance/Music,Tekko Staff,"Do you want to show off any dancing, music, or whatever you like performing for passersby? Come stop by Stage Uzume and hop on up!  Anyone is welcome!

(You are responsible for bringing your own equipment.)"
15,7/20/2023,6:00 PM,7:30 PM,Random Dance Play,Stage Uzume,Dance/Music,Tekko Staff,"Come and dance your heart away at our first Random Dance Play of the weekend! The theme for this RDP is old gen kpop! 1st through 3rd generation kpop will be the focus, so definitely stop by and have some fun dancing with other dancers and kpop fans alike!"
16,7/20/2023,7:30 PM,9:00 PM,VGM Chill Hours,Stage Uzume,Dance/Music,Tekko Staff,It's been a long day at Tekko... take some time to relax at Stage Uzume! We'll be playing video game music to help everyone relax and wind down from their first day at the con.
17,7/20/2023,7:30 PM,8:30 PM,It Came from the Con (18+),Panel 7 (18+),Panel,Aaron Fristik ,Cons are great…but we all have that one story…A CONVENTION HORROR STORY!
18,7/20/2023,7:00 PM,8:30 PM,Anime Con Quiplash,Gameshows! (Panel 3),Gameshow/Game,Dueling Pisces,Who has the last lash in this hilarious custom Quiplash pack?! Do you? Come join us for some good laughs and prizes as we make fun of ourselves and the wacky world of anime and conventions!
19,7/20/2023,4:00 PM,6:00 PM,Humans vs Monsters Diplomacy ,LARP 1,LARP,Tekko Staff,"The monsters in the forest are tired of the humans hunting them, killing them, and stealing their treasure. They have sued for peace. This is a hilarious game of diplomacy and negotiations for up to six players. "
20,7/20/2023,4:30 PM,6:00 PM,The Regency Committee on Decorum and Punchbowl Poop Prevention ,LARP 2,LARP,Tekko Staff,"Members of a self-selected social Committee in Regency England must meet to resolve the problems plaguing their party set — including the shocking public impropriety they cannot bring themselves to speak of. A conversational committee game for 4-6 players, with an absurd edge, a ridiculous central problem, and a real attempt to lightly model how social groups avoid difficult topics, especially if they concern privileged classes or embarrassing issues."
